Name,Soundex,Frequency
Basely,B240,1
Basey,B200,1
Basher,B260,1
Bashford,B216,6
Bashforth,B216,1
Baskervill,B261,1
Baskerville,B261,2
Baskey,B200,1
Basnett,B253,2
Basquill,B240,1
Bass,B200,9
Basset,B230,1
Bassett,B230,13
Bassford,B216,1
Bassils,B242,1
Bassnett,B253,1
Basson,B250,2
Bastable,B231,2
Bastiman,B235,1
Bastin,B235,4
Basting,B235,2
Baston,B235,4
Bastow,B230,3
Batchelar,B324,2
Batchelor,B324,7
Bate,B300,10
Bateman,B355,18
Bates,B320,44
Bateson,B325,1
Bath,B300,7
Bathe,B300,2
Bather,B360,2
Batho,B300,2
Batkin,B325,1
Batley,B340,2
Batman,B355,1
Batney,B350,1
Batson,B325,1
Batt,B300,7
Battams,B352,2
Batten,B350,6
Battensby,B352,1
Batter,B360,2
Batterbee,B361,1
Battersby,B362,1
Battershall,B362,1
Batterson,B362,1
Battey,B300,1
Battle,B340,1
Batton,B350,1
Batts,B320,2
Batty,B300,16
Battye,B300,2
Baty,B300,2
Bau---ham,B500,1
Bau-hes,B200,1
Baugh,B200,3
Baughan,B250,1
Baulder,B436,1
Bauldry,B436,1
Baulson,B425,1
Baum,B500,3
Baumgartner,B526,1
Bavage,B120,1
Baverstock,B162,1
Baw--,B000,1
Bawden,B350,7
Bawdon,B350,1
Bawn,B500,1
Baxendale,B253,3
Baxter,B236,26
Baybry,B160,1
Bayes,B200,4
Bayfield,B143,2
Bayford,B163,2
Bayles,B420,3
Bayless,B420,2
Bayley,B400,15
Bayliess?,B420,1
Baylis,B420,11
Bayliss,B420,2
Bayly,B400,4
Bayman,B550,1
Bayne,B500,1
Baynes,B520,3
Bays,B200,3
Bayston,B235,1
Bazile,B240,1
Bazill,B240,1
Beach,B200,3
Beacham,B250,2
Beachum,B250,1
Beacon,B250,1
Beadale,B340,1
Beadel,B340,1
Beaden,B350,1
Beadle,B340,4
Beadling,B345,1
Beadnell,B354,2
Beagley,B240,3
Beaks,B200,1
Beal,B400,5
Beale,B400,10
Beals,B420,1
Beamy,B500,1
Bean,B500,11
Beaney,B500,1
Beanland,B545,4
Beans,B520,1
Bear,B600,7
Bearby,B610,1
Beard,B630,16
Beardall,B634,1
Beardmore,B635,7
Beardow,B630,1
Beards,B632,1
Beardsall,B632,2
Beardshaw,B632,2
Beardsley,B632,6
Beardsworth,B632,1
Beardwood,B633,1
Beare,B600,4
Bearman,B655,1
Bearns,B652,1
Bearup,B610,1
Beasley,B240,2
Beason,B250,1
Beater,B360,1
Beatson,B325,2
Beattie,B300,5
Beatty,B300,3
Beaumann,B550,1
Beaumont,B553,23
Beaurie,B600,1
Beavan,B150,3
Beaven,B150,3
Beaver,B160,5
Beavers,B162,1
Beaverstock,B162,1
Beaves,B120,1
Beavis,B120,1
Beavitt,B130,1
Beazer,B260,1
Beazley,B240,2
Bebb,B100,3
Bebbington,B152,4
Bebington,B152,2
Beck,B200,9
Beckensall,B252,1
Becker,B260,2
Becket,B230,1
Beckett,B230,15
Beckford,B216,1
Beckham,B250,1
Beckingham,B252,1
Beckinsale,B252,1
Beckley,B240,2
Beckton,B235,1
Beckwith,B230,4
Beckworth,B263,1
Bed(s)well,B324,1
Beddard,B363,1
Beddell,B340,1
Bedding,B352,1
Beddis,B320,1
Beddome,B350,1
Beddow,B300,2
Beddowes,B320,1
Beddows,B320,1
Bedel,B340,1
Bedford,B316,12
Bedingfield,B352,1
Bedson,B325,3
Bedsor X'd,B326,1
Bedsworth,B326,1
Bee,B000,4
Beeby,B100,2
Beech,B200,4
Beecham,B250,1
Beecher,B260,1
Beechey,B200,2
Beeching,B252,3
Beechy,B200,2
Beecroft,B261,7
Beedel,B340,1
Beedle,B340,2
Beel,B400,1
Beeley,B400,2
Beels,B420,1
Beeny,B500,1
Beer,B600,13
Beers,B620,1
Bees,B200,4
Beese,B200,1
Beesley,B240,6
Beeson,B250,1
Beeston,B235,3
Beet(te)lesto,B342,1
Beetham,B350,1
Beeton,B350,4
Beetson,B325,2
Beety,B300,1
Beevers,B162,2
Beevors,B162,1
Begley,B240,3
Beha,B000,1
Behanrell,B564,1
Behennah,B500,1
Beighton,B235,1
Beilby,B410,3
Beill,B400,1
Beirne,B650,1
Belban,B415,1
Belbin,B415,1
Belcher,B426,8
Belchier,B426,1
Beldam,B435,1
Beldham,B435,1
Beldom,B435,2
Beldon,B435,3
Belfield,B414,1
Belfit,B413,1
Belham,B450,1
Bell,B400,88
Bellaby,B410,1
Bellamy,B450,8
Bellarby,B461,1
Bellas,B420,1
Bellati,B430,1
Bellchamber,B425,1
Bellchambers,B425,1
Bellenes,B452,1
Belles,B420,1
Bellfield,B414,1
Bellinger,B452,2
Bellingham,B452,2
Bellion,B450,2
Bellis,B420,3
Bellmer,B456,1
Bellmore,B456,1
Bellringer,B465,1
Bellwood,B430,1
Bellyse,B420,1
Belsey,B420,1
Belshaw,B420,1
Belton,B435,1
Benbow,B510,4
Bench,B520,1
Bendals,B534,1
Bendel,B534,1
Bendelow,B534,2
Benefield,B514,1
Beney,B500,1
Benfield,B514,2
Benford,B516,1
Benges,B522,2
Bengough,B522,1
Benham,B550,7
Beningfield,B552,1
Benjafield,B521,3
Benjamin,B525,5
Benn,B500,7
Bennell,B540,1
Benner,B560,1
Bennet,B530,5
Bennett,B530,116
Bennetts,B532,6
Benneworth,B563,1
Benney,B500,5
Bennicke?,B520,1
Bennion,B550,1
Bennison,B525,4
Benny,B500,1
Bensely?,B524,1
Benson,B525,13
Benstead,B523,1
Bensted,B523,1
Bensusan,B522,1
Bent,B530,9
Bentham,B535,4
Bentlett,B534,1
Bentley,B534,31
Bentliff,B534,1
Benton,B535,7
Benwell,B540,2
Beresford,B621,6
Berjer,B626,1
Berkeley,B624,1
Berkly,B624,2
Bermingham,B655,1
Bernard,B656,1
Bernet,B653,1
Berney,B650,1
Bernhard,B656,1
Bernie,B650,1
Bernier,B656,1
Berrey,B600,1
Berridge,B632,5
Berrill,B640,1
Berriman,B655,4
Berrington,B652,1
Berrisford,B621,2
Berrow,B600,1
Berry,B600,53
Berryman,B655,4
Bertenshaw,B635,2
Bertherick,B636,1
Berton,B635,1
Bertram,B636,1
Berwick,B620,3
Besant,B253,1
Bess,B200,1
Bessant,B253,3
Bessent,B253,1
Bessford,B216,1
Bessy,B200,1
Best,B230,13
Bestford,B231,1
Bestwick,B232,6
Beswick,B220,8
Bethel,B340,1
Bethell,B340,4
Betson,B325,1
Bettany,B350,1
Betteley,B340,2
Betteridge,B363,2
Betterton,B363,1
Bettinson,B352,3
Bettis,B320,1
Bettison,B325,2
Bettles,B342,1
Bettney,B350,1
Bettoney,B350,1
Bettridge,B363,1
Betts,B320,28
Bevan,B150,16
Bevans,B152,2
Bevell,B140,1
Beven,B150,1
Beverley,B164,3
Beverlin,B164,1
Bevers,B162,2
Bevin,B150,1
Bevins,B152,1
Bevis,B120,3
Bewen,B500,1
Bewes,B200,2
Bewick,B200,1
Bewley,B400,1
Bewsher,B260,1
Beynon,B550,5
Bezzant,B253,1
Bibb,B100,1
Bibbs,B120,1
Bibby,B100,7
Bibey,B100,1
Bicheni?,B250,1
Bick,B200,2
Bickel,B240,1
Bickerdyke,B263,1
Bickers,B262,1
Bickerstaff,B262,3
Bickerton,B263,2
Bickford,B216,2
Bickham,B250,1
Bickle,B240,3
Bickley,B240,4
Bickly,B240,1
Bicknell,B254,1
Biddington,B352,1
Biddle,B340,6
Biddlecombe,B342,1
Biddleston,B342,1
Bide,B300,2
Bidgood,B323,3
Bidmead,B353,1
Biel,B400,1
Bier,B600,1
Biffin,B150,1
Bigadyke,B232,1
