"AB_POSTCODE","AB_ADDRESS","UPRN","PARENT_UPRN","CLASS","CLASS_DESC"
"NE437UL","4 TOFTS COTTAGES U 8194 NEWTON MAIN ROAD NEWTON STOCKSFIELD",10000843408,10014488500,"RD04","Terraced"
"NE437UL","TOWN FARM COTTAGE TOWN FARM U 8194 NEWTON MAIN ROAD NEWTON STOCKSFIELD",10000843526,10091603831,"RD03","Semi-Detached"
"NE150NT","STONEYCROFT B 6528 HORSLEY NEWCASTLE MAIN ROAD THROUGH VILLAGE HORSLEY UPON TYNE",10000843863,NA,"RD02","Detached"
"NE426ED","C 254 OLD NAFFERTON JUNCTION TO OVINGTON LODGE FARM OVINGTON PRUDHOE",10000844047,NA,"RD02","Detached"
"NE437UH","STABLE HOUSE C 251 SHAW HOUSE TO NEWTON HALL NEWTON STOCKSFIELD",10000844626,NA,"RD03","Semi-Detached"
"NE437XB","NEWTON FELL HOUSE FARM C 246 AYDON JUNCTION TO WELTON NEWTON STOCKSFIELD",10000844865,NA,"RD02","Detached"
"NE426AU","25 CASTLE VIEW OVINGHAM PRUDHOE",10000847810,NA,"RD03","Semi-Detached"
"NE418DJ","2 WOODCROFT ROAD WYLAM",10000848276,NA,"RD03","Semi-Detached"
"NE426AU","34 CASTLE VIEW OVINGHAM PRUDHOE",200000921300,NA,"RD04","Terraced"
"NE418DS","9 INGHAM TERRACE WYLAM",200000921704,NA,"RD04","Terraced"
"NE426AB","8 THE HILL OVINGHAM PRUDHOE",200000924113,NA,"RD03","Semi-Detached"
"NE426DH","STORE HOUSE C 254 OVINGTON MAIN ROAD THROUGH VILLAGE OVINGTON PRUDHOE",200000924152,NA,"RD04","Terraced"
"NE150AF","1 STONECROFT HORSLEY NEWCASTLE UPON TYNE",100110642675,NA,"RD02","Detached"
"NE426BT","49 BEWICK LANE OVINGHAM PRUDHOE",100110643018,NA,"RD06","Self Contained Flat (Includes Maisonette / Apartment)"
"NE426DX","13 GREEN RISING OVINGTON PRUDHOE",100110644379,NA,"RD04","Terraced"
"NE426AY","22 PIPER ROAD OVINGHAM PRUDHOE",100110645671,NA,"RD04","Terraced"
"NE426AZ","50 PIPER ROAD OVINGHAM PRUDHOE",100110645697,NA,"RD04","Terraced"
"NE426AR","15 TYNE GARDENS OVINGHAM PRUDHOE",100110646460,NA,"RD04","Terraced"
"NE426BD","17 WELBURN CLOSE OVINGHAM PRUDHOE",100110646560,NA,"RD04","Terraced"
"NE426AS","32 WINDSOR CRESCENT OVINGHAM PRUDHOE",100110646857,NA,"RD04","Terraced"
"NE418AX","3 ALGERNON TERRACE WYLAM",100110648071,NA,"RD04","Terraced"
"NE418BT","2 BLACKETT COURT WYLAM",100110648128,NA,"RD06","Self Contained Flat (Includes Maisonette / Apartment)"
"NE418EU","9 BLUEBELL CLOSE WYLAM",100110648148,NA,"RD02","Detached"
"NE418EE","21 FALCON TERRACE WYLAM",100110648347,NA,"RD04","Terraced"
"NE418EE","31 FALCON TERRACE WYLAM",100110648357,NA,"RD04","Terraced"
"NE418EF","5 HEDLEY ROAD WYLAM",100110648390,NA,"RD04","Terraced"
"NE418EF","13 HEDLEY ROAD WYLAM",100110648398,NA,"RD04","Terraced"
"NE418DZ","2 STEPHENSON TERRACE WYLAM",100110648479,NA,"RD04","Terraced"
"NE418EX","33 TYNEDALE CLOSE WYLAM",100110648586,NA,"RD04","Terraced"
"NE418DJ","4 WOODCROFT ROAD WYLAM",100110648604,NA,"RD03","Semi-Detached"
"NE418DH","33 WOODCROFT ROAD WYLAM",100110648629,NA,"RD03","Semi-Detached"
"NE418ES","6 WOODVALE GARDENS WYLAM",100110648653,NA,"RD03","Semi-Detached"
"NE426BW","GARDEN HOUSE WEST ROAD OVINGHAM PRUDHOE",100110726243,NA,"RD02","Detached"
"NE418AW","SYCAMORES SYCAMORE OVINGHAM ROAD WYLAM",100110764316,NA,"RD02","Detached"
"NE426DH","2 HIGHLANDER GARDENS C 254 OVINGTON MAIN ROAD THROUGH VILLAGE OVINGTON PRUDHOE",10014492162,10014492160,"RD03","Semi-Detached"
"NE426QH","6 NORTH MEADOW MEADOWS OVINGHAM PRUDHOE",200000924120,NA,"RD02","Detached"
"NE150HZ","MIDDLE MARCH MIDDLEMARCH B 6528 HORSLEY TO HOLEYN HEDDON-ON-THE-WALL NEWCASTLE UPON TYNE",200000925463,NA,"RD03","Semi-Detached"
"NE426ED","LODGE FARM OVINGTON STABLE STABLES C 254 OLD NAFFERTON JUNCTION TO OVINGTON PRUDHOE",10093518382,NA,"RD02","Detached"
"NE418BA","TREVITHICK HOUSE HOLEYN HALL ROAD WYLAM",10093518992,NA,"RD02","Detached"
"NE150NR","3 HORSLEY WOOD COTTAGES HORSLEY NEWCASTLE UPON TYNE",100110642598,NA,"RD04","Terraced"
"NE150NR","5 HORSLEY WOOD COTTAGES HORSLEY NEWCASTLE UPON TYNE",100110642600,NA,"RD04","Terraced"
"NE150NR","18 HORSLEY WOOD COTTAGES HORSLEY NEWCASTLE UPON TYNE",100110642613,NA,"RD04","Terraced"
"NE150NR","20 HORSLEY WOOD COTTAGES HORSLEY NEWCASTLE UPON TYNE",100110642615,NA,"RD04","Terraced"
"NE426BT","13 BEWICK LANE OVINGHAM PRUDHOE",100110642982,NA,"RD04","Terraced"
"NE426BT","47 BEWICK LANE OVINGHAM PRUDHOE",100110643016,NA,"RD06","Self Contained Flat (Includes Maisonette / Apartment)"
"NE426BT","56 BEWICK LANE OVINGHAM PRUDHOE",100110643025,NA,"RD06","Self Contained Flat (Includes Maisonette / Apartment)"
"NE426AZ","48 PIPER ROAD OVINGHAM PRUDHOE",100110645695,NA,"RD04","Terraced"
"NE426EH","4 SPRINGFIELD OVINGTON PRUDHOE",100110646117,NA,"RD02","Detached"
"NE426EQ","41 SPRINGFIELD OVINGTON PRUDHOE",100110646149,NA,"RD02","Detached"
"NE418AR","12 BLACKETT COTTAGES WYLAM",100110648120,NA,"RD04","Terraced"
"NE418EZ","118 DENE ROAD WYLAM",100110648282,NA,"RD04","Terraced"
"NE418EE","30 FALCON TERRACE WYLAM",100110648356,NA,"RD04","Terraced"
"NE418EJ","13 HACKWORTH GARDENS WYLAM",100110648367,NA,"RD04","Terraced"
"NE418EJ","19 HACKWORTH GARDENS WYLAM",100110648373,NA,"RD04","Terraced"
"NE418LA","1 STEPHENSON COURT WYLAM",100110648460,NA,"RD06","Self Contained Flat (Includes Maisonette / Apartment)"
"NE418DZ","8 STEPHENSON TERRACE WYLAM",100110648485,NA,"RD04","Terraced"
"NE418EX","17 TYNEDALE CLOSE WYLAM",100110648570,NA,"RD04","Terraced"
"NE418BB","HOLEYNSIDE 10 HOLEYN HALL ROAD WYLAM",100110726940,NA,"RD04","Terraced"
"NE418BQ","THE LODGE HOLEYN HALL HOLEYN HALL ROAD WYLAM",100110726948,100110726939,"RD04","Terraced"
"NE418AB","LYNHOLME MAIN ROAD WYLAM",100110726963,NA,"RD02","Detached"
"NE418JA","ELMFIELD LODGE STATION ROAD WYLAM",100110726989,NA,"RD02","Detached"
"NE426DY","4 BURNSIDE OVINGTON PRUDHOE",100110643280,NA,"RD03","Semi-Detached"
"NE426AP","35 DENE GARTH OVINGHAM PRUDHOE",100110643999,NA,"RD04","Terraced"
"NE426DX","14 GREEN RISING OVINGTON PRUDHOE",100110644380,NA,"RD04","Terraced"
"NE426AY","21 PIPER ROAD OVINGHAM PRUDHOE",100110645670,NA,"RD04","Terraced"
"NE426BD","12 WELBURN CLOSE OVINGHAM PRUDHOE",100110646556,NA,"RD04","Terraced"
"NE418EZ","23 DENE ROAD WYLAM",100110648204,NA,"RD04","Terraced"
"NE418EZ","27 DENE ROAD WYLAM",100110648208,NA,"RD04","Terraced"
"NE418EE","26 FALCON TERRACE WYLAM",100110648352,NA,"RD04","Terraced"
"NE418BW","1 STREET HOUSES WYLAM",100110648501,NA,"RD04","Terraced"
"NE418DU","1 TYNE VIEW WYLAM",100110648545,NA,"RD04","Terraced"
"NE418EX","6 TYNEDALE CLOSE WYLAM",100110648559,NA,"RD04","Terraced"
"NE418AU","SHIRLEY CHURCH ROAD WYLAM",100110726869,NA,"RD04","Terraced"
"NE418DT","TYNE HOUSE WEST VIEW WYLAM",100110727007,NA,"RD04","Terraced"
"NE418HX","FERN BANK WYLAM WOOD ROAD WYLAM",100110727020,NA,"RD04","Terraced"
"NE418HX","PENDOWER WYLAM WOOD ROAD WYLAM",100110727027,NA,"RD04","Terraced"
"NE426AU","35 CASTLE VIEW OVINGHAM PRUDHOE",200000921301,NA,"RD04","Terraced"
"NE426AG","DUKES COTTAGE MAIN ROAD OVINGHAM PRUDHOE",200000921316,NA,"RD02","Detached"
"NE418DS","17 INGHAM TERRACE WYLAM",200000921695,NA,"RD04","Terraced"
"NE426AR","3 PEARTREE CLOSE TYNE GARDENS OVINGHAM PRUDHOE",10014492159,10014492157,"RD04","Terraced"
"NE437UZ","THE MILL 2 LAKER HALL FARM C 246 AYDON JUNCTION TO WELTON NEWTON STOCKSFIELD",10014492216,10000843531,"RD02","Detached"
"NE150NR","10 HORSLEY WOOD COTTAGES HORSLEY NEWCASTLE UPON TYNE",100110642605,NA,"RD04","Terraced"
"NE426BT","52 BEWICK LANE OVINGHAM PRUDHOE",100110643021,NA,"RD06","Self Contained Flat (Includes Maisonette / Apartment)"
"NE426BE","16 DENE CLOSE OVINGHAM PRUDHOE",100110643961,NA,"RD04","Terraced"
"NE426DU","4 LEAZES VIEW OVINGTON PRUDHOE",100110644838,NA,"RD03","Semi-Detached"
"NE426BP","2 NUNNYKIRK CLOSE OVINGHAM PRUDHOE",100110645211,NA,"RD02","Detached"
"NE426EH","26 SPRINGFIELD OVINGTON PRUDHOE",100110646134,NA,"RD02","Detached"
"NE426BA","13 WHEATFIELD CLOSE OVINGHAM PRUDHOE",100110646803,NA,"RD04","Terraced"
"NE426BB","27 WHEATFIELD CLOSE OVINGHAM PRUDHOE",100110646817,NA,"RD04","Terraced"
"NE418EH","4 BELL ROAD WYLAM",100110648097,NA,"RD04","Terraced"
"NE418BT","12 BLACKETT COURT WYLAM",100110648138,NA,"RD06","Self Contained Flat (Includes Maisonette / Apartment)"
"NE418AL","3 BURGOYNE TERRACE WYLAM",100110648171,NA,"RD04","Terraced"
"NE418EY","7 DENE ROAD WYLAM",100110648188,NA,"RD02","Detached"
"NE418HB","76 DENE ROAD WYLAM",100110648245,NA,"RD02","Detached"
"NE418DE","12 DENECROFT WYLAM",100110648327,NA,"RD02","Detached"
"NE418AH","5 LABURNUM TERRACE WYLAM",100110648432,NA,"RD04","Terraced"
"NE418EN","6 THE DENE WYLAM",100110648519,NA,"RD04","Terraced"
"NE418DT","2 WEST VIEW WYLAM",100110648594,NA,"RD03","Semi-Detached"
"NE426BG","FOXDALE HORSLEY ROAD OVINGHAM PRUDHOE",100110726174,NA,"RD02","Detached"
"NE418HR","THE BOATHOUSE INN STATION ROAD WYLAM",100110764315,NA,"CR06","Public House / Bar / Nightclub"
"NE150NW","4 HILL CROFT HORSLEY NEWCASTLE UPON TYNE",100110642594,NA,"RD04","Terraced"
"NE426BT","5 BEWICK LANE OVINGHAM PRUDHOE",100110642974,NA,"RD04","Terraced"
"NE426BT","12 BEWICK LANE OVINGHAM PRUDHOE",100110642981,NA,"RD04","Terraced"
